t gamma
0.787109 0.000000
0.788086 0.000000
0.789062 0.000000
0.790039 0.000000
0.791016 0.000000
0.791992 0.000000
0.792969 0.000000
0.793945 0.000000
0.794922 0.000000
0.795898 0.000000
0.796875 0.000000
0.797852 0.000000
0.798828 0.000000
0.799805 0.000000
0.800781 0.000000
0.801758 0.000000
0.802734 0.000000
0.803711 0.000000
0.804688 0.000000
0.805664 0.000000
0.806641 0.000000
0.807617 0.000000
0.808594 0.000000
0.809570 0.000000
0.810547 0.000000
0.811523 0.000000
0.812500 0.000000
0.813477 0.000000
0.814453 0.000000
0.815430 0.000000
0.816406 0.000000
0.817383 0.000000
0.818359 0.000000
0.819336 0.000000
0.820312 0.000000
0.821289 0.000000
0.822266 0.000000
0.823242 0.000000
0.824219 0.000000
0.825195 0.000000
0.826172 0.000000
0.827148 0.000000
0.828125 0.000000
0.829102 0.000000
0.830078 0.000000
0.831055 0.000000
0.832031 0.000000
0.833008 0.000000
0.833984 0.000000
0.834961 0.000000
0.835938 0.000000
0.836914 0.000000
0.837891 0.000000
0.838867 0.000000
0.839844 0.000000
0.840820 0.000000
0.841797 0.000000
0.842773 0.000000
0.843750 0.000000
0.844727 0.000000
0.845703 0.000000
0.846680 0.000000
0.847656 0.000000
0.848633 0.000000
0.849609 0.000000
0.850586 0.000000
0.851562 0.000000
0.852539 0.000000
0.853516 0.000000
0.854492 0.000000
0.855469 0.000000
0.856445 0.000000
0.857422 0.000000
0.858398 0.000000
0.859375 0.000000
0.860352 0.000000
0.861328 0.000000
0.862305 0.000000
0.863281 0.000000
0.864258 0.000000
0.865234 0.000000
0.866211 0.000000
0.867188 0.000000
0.868164 0.000000
0.869141 0.000000
0.870117 0.000000
0.871094 0.000000
0.872070 0.000000
0.873047 0.000000
0.874023 0.000000
0.875000 0.000000
0.875977 0.000000
0.876953 0.000000
0.877930 0.000000
0.878906 0.000000
0.879883 0.000000
0.880859 0.000000
0.881836 0.000000
0.882812 0.000000
0.883789 0.000000
0.884766 0.000000
0.885742 0.000000
0.886719 0.000000
0.887695 0.000000
0.888672 0.000000
0.889648 0.000000
0.890625 0.000000
0.891602 0.000000
0.892578 0.000000
0.893555 0.000000
0.894531 0.000000
0.895508 0.000000
0.896484 0.000000
0.897461 0.000000
0.898438 0.000000
0.899414 0.000000
0.900391 0.000000
0.901367 0.000000
0.902344 0.000000
0.903320 0.000000
0.904297 0.000000
0.905273 0.000000
0.906250 0.000000
0.907227 0.000000
0.908203 0.000000
0.909180 0.000000
0.910156 0.000000
0.911133 0.000000
0.912109 0.000000
0.913086 0.000000
0.914062 0.000000
0.915039 0.000000
0.916016 0.000000
0.916992 0.000000
0.917969 0.000000
0.918945 0.000000
0.919922 0.000000
0.920898 0.000000
0.921875 0.000000
0.922852 0.000000
0.923828 0.000000
0.924805 0.000000
0.925781 0.000000
0.926758 0.000000
0.927734 0.000000
0.928711 0.000000
0.929688 0.000000
0.930664 0.000000
0.931641 0.000000
0.932617 0.000000
0.933594 0.000000
0.934570 0.000000
0.935547 0.000000
0.936523 0.000000
0.937500 0.000000
0.938477 0.000000
0.939453 0.000000
0.940430 0.000000
0.941406 0.000000
0.942383 0.000000
0.943359 0.000000
0.944336 0.000000
0.945312 0.000000
0.946289 0.000000
0.947266 0.000000
0.948242 0.000000
0.949219 0.000000
0.950195 0.000000
0.951172 0.000000
0.952148 0.000000
0.953125 0.000000
0.954102 0.000000
0.955078 0.000000
0.956055 0.000000
0.957031 0.000000
0.958008 0.000000
0.958984 0.000000
0.959961 0.000000
0.960938 0.000000
0.961914 0.000000
0.962891 0.000000
0.963867 0.000000
0.964844 0.000000
0.965820 0.000000
0.966797 0.000000
0.967773 0.000000
0.968750 0.000000
0.969727 0.000000
0.970703 0.000000
0.971680 0.000000
0.972656 0.000000
0.973633 0.000000
0.974609 0.000000
0.975586 0.000000
0.976562 0.000000
0.977539 0.000000
0.978516 0.000000
0.979492 0.000000
0.980469 0.000000
0.981445 0.000000
0.982422 0.000000
0.983398 0.000000
0.984375 0.000000
0.985352 0.000000
0.986328 0.000000
0.987305 0.000000
0.988281 0.000000
0.989258 0.000000
0.990234 0.000000
0.991211 0.000000
0.992188 0.000000
0.993164 0.000000
0.994141 0.000000
0.995117 0.000000
0.996094 0.000000
0.997070 0.000000
0.998047 0.000000
0.999023 0.000000
